# source_id	content_file	snapshot_hash	updated_at	resolved_location
c2_tracker	c2_tracker-34d3bbbac90011f04b1021e3565f8476c6d010206860f95e62ffbc953cd1d368.txt	34d3bbbac90011f04b1021e3565f8476c6d010206860f95e62ffbc953cd1d368	2026-06-27T12:29:47.863795Z	https://iplists.firehol.org/files/c2_tracker.ipset
cta_cryptowall	cta_cryptowall-6880eae56bffce5fe86fab43ef7f6317929ca9db664b052012e8ca4d2602a230.txt	6880eae56bffce5fe86fab43ef7f6317929ca9db664b052012e8ca4d2602a230	2026-06-27T12:29:48.497408Z	https://iplists.firehol.org/files/cta_cryptowall.ipset
cybercrime	cybercrime-7458111269f954a54848a8889dffdfbc48d911fe16fa37c53466d997d33dba2c.txt	7458111269f954a54848a8889dffdfbc48d911fe16fa37c53466d997d33dba2c	2026-06-27T12:29:47.627049Z	https://iplists.firehol.org/files/cybercrime.ipset
feodo	feodo-9b99b90eacbf0b382f31e65a310b446529eb9a004e4680f29b3830fd417d8d6c.txt	9b99b90eacbf0b382f31e65a310b446529eb9a004e4680f29b3830fd417d8d6c	2026-06-27T12:29:48.735760Z	https://iplists.firehol.org/files/feodo.ipset
feodo_badips	feodo_badips-9a36e885724e96aca2a00587a46883d52adea0688c59e4452f8e80cf80928388.txt	9a36e885724e96aca2a00587a46883d52adea0688c59e4452f8e80cf80928388	2026-06-27T12:29:48.988682Z	https://iplists.firehol.org/files/feodo_badips.ipset
firehol_webclient	firehol_webclient-9e71ea9ff72c7b6643c01ee52af544df41271a277964267572032cb3efc342d3.txt	9e71ea9ff72c7b6643c01ee52af544df41271a277964267572032cb3efc342d3	2026-06-27T12:29:48.123956Z	https://iplists.firehol.org/files/firehol_webclient.netset
iblocklist_abuse_palevo	iblocklist_abuse_palevo-83c750abd8a667265dbdd30ebec6a4cfa7796a3c42e92b0f2d3e2196ef4c2ac8.txt	83c750abd8a667265dbdd30ebec6a4cfa7796a3c42e92b0f2d3e2196ef4c2ac8	2026-06-27T12:29:49.637664Z	https://iplists.firehol.org/files/iblocklist_abuse_palevo.netset
iblocklist_abuse_spyeye	iblocklist_abuse_spyeye-f8adfe70447c26f0e8f02cc02d243d39f9a621433666b359003ae46dc7609f4e.txt	f8adfe70447c26f0e8f02cc02d243d39f9a621433666b359003ae46dc7609f4e	2026-06-27T12:29:49.185341Z	https://iplists.firehol.org/files/iblocklist_abuse_spyeye.netset
iblocklist_abuse_zeus	iblocklist_abuse_zeus-42ad299d851cbb33626ee563ed474f26d3f97818dfe4b295505c75e47223af32.txt	42ad299d851cbb33626ee563ed474f26d3f97818dfe4b295505c75e47223af32	2026-06-27T12:29:49.434129Z	https://iplists.firehol.org/files/iblocklist_abuse_zeus.netset
iblocklist_malc0de	iblocklist_malc0de-1d0ffd461f3110ca9dc211dd3bb3aa03e4f0047a801bbdcca57f4b31656d8844.txt	1d0ffd461f3110ca9dc211dd3bb3aa03e4f0047a801bbdcca57f4b31656d8844	2026-06-27T12:29:49.853161Z	https://iplists.firehol.org/files/iblocklist_malc0de.netset
private_special	private_special-944334239dc81dbd53f9e9a8ce2da49e1e1bda60f298644f631b5248132b5514.txt	944334239dc81dbd53f9e9a8ce2da49e1e1bda60f298644f631b5248132b5514	2026-06-27T12:29:50.099295Z	/work/feeds/manual/whitelists/whitelist-private-and-special.netset
vxvault	vxvault-be18ac739b3b8deee7bbe6b27602f293dd207c1138837e7a28a5b3bdd1eb578b.txt	be18ac739b3b8deee7bbe6b27602f293dd207c1138837e7a28a5b3bdd1eb578b	2026-06-27T12:29:50.098596Z	https://iplists.firehol.org/files/vxvault.ipset
whitelist_overrides	whitelist_overrides-aea576b1a48389f93a0d83c63c7294c26894297fedc3fa3f3f21b3da45495df8.txt	aea576b1a48389f93a0d83c63c7294c26894297fedc3fa3f3f21b3da45495df8	2026-06-27T12:29:50.099839Z	/work/feeds/manual/whitelists/whitelist-overrides.netset
